7 11 8 3 14 b 6 15 1 4 13 9 5 12 2 10

LLEGO

NODOS POR ALTURA:
0 : 1
1 : 4
2 : 10
3 : 20
4 : 38
5 : 77
6 : 156
7 : 297
8 : 537
9 : 904
10 : 1505
11 : 2376
12 : 3661
13 : 5016
14 : 7195
15 : 8708
16 : 12010
17 : 13201
18 : 17452
19 : 18027
20 : 22639
21 : 21460
22 : 25662
23 : 22123
24 : 25021
25 : 19767
26 : 21046
27 : 14964
28 : 15165
29 : 9740
30 : 9318
31 : 5367
32 : 4859
33 : 2551
34 : 2155
35 : 866
36 : 688
37 : 258
38 : 194
39 : 48
40 : 41
41 : 16
42 : 13
43 : 1
44 : 1
45 : 1
46 : 1

TIEPO TOMADO : 5.1660 seg

Maximum resident set size (kbytes): 87976
