10 8 b 12 3 7 6 2 1 14 4 11 15 13 9 5

NO LLEGO

NODOS POR ALTURA:
0 : 11
1 : 28
2 : 51
3 : 112
4 : 241
5 : 456
6 : 873
7 : 1713
8 : 3392
9 : 6513
10 : 12458
11 : 23254
12 : 43323
13 : 78182
14 : 139761
15 : 238904
16 : 404085
17 : 648066
18 : 1036741
19 : 1559438
20 : 2357146
21 : 3323692
22 : 4724978
23 : 6205124
24 : 8240393
25 : 9999914
26 : 12382939
27 : 13866420
28 : 16048120
29 : 16669057
30 : 18052667
31 : 17362631
32 : 17628593
33 : 15634943
34 : 14905206
35 : 11883293
36 : 10605304
37 : 7390154
38 : 6130183
39 : 3592187
40 : 2717155
41 : 1306040
42 : 902241
43 : 374002
44 : 230258
45 : 79576
46 : 47352
47 : 18941
48 : 10873
49 : 3811
50 : 2346
51 : 1340
52 : 761
53 : 151

TIEPO TOMADO : 3600.0003 seg

Maximum resident set size (kbytes): 1645884
