3 2 4 9 18 6 11 13 8 14 B 5 17 12 19 15 16 22 10 24 1 21 7 20 23

NO LLEGO

NODOS POR ALTURA:
0 : 13
1 : 34
2 : 60
3 : 139
4 : 319
5 : 739
6 : 1570
7 : 3453
8 : 7001
9 : 15234
10 : 30768
11 : 65099
12 : 125518
13 : 251673
14 : 452264
15 : 842165
16 : 1380354
17 : 2357321
18 : 3492120
19 : 5470218
20 : 7304490
21 : 10564319
22 : 12769773
23 : 17219291
24 : 19014340
25 : 24127225
26 : 24751934
27 : 29882505
28 : 28875613
29 : 33424049
30 : 30452911
31 : 33835294
32 : 28915768
33 : 30876051
34 : 24625777
35 : 25190833
36 : 18739588
37 : 18263742
38 : 12755246
39 : 11753552
40 : 7635759
41 : 6677804
42 : 4119223
43 : 3372962
44 : 1934618
45 : 1488142
46 : 845800
47 : 586233
48 : 310667
49 : 184488
50 : 83258
51 : 44344
52 : 23745
53 : 12280
54 : 7407
55 : 934
56 : 473
57 : 99

TIEPO TOMADO : 3600.0002 seg

Maximum resident set size (kbytes): 6438336
