3 2 4 B 9 6 11 13 8 18 15 5 17 12 14 21 1 22 10 19 16 7 20 23 24

LLEGO

NODOS POR ALTURA:
0 : 10
1 : 28
2 : 52
3 : 118
4 : 259
5 : 588
6 : 1235
7 : 2618
8 : 5096
9 : 10550
10 : 19994
11 : 38651
12 : 66516
13 : 116964
14 : 181965
15 : 294454
16 : 414972
17 : 628259
18 : 815467
19 : 1159430
20 : 1382206
21 : 1850929
22 : 2038618
23 : 2575778
24 : 2634437
25 : 3138737
26 : 2998412
27 : 3390022
28 : 3040539
29 : 3264799
30 : 2758648
31 : 2803974
32 : 2234588
33 : 2148385
34 : 1616113
35 : 1456485
36 : 1033191
37 : 870012
38 : 577124
39 : 447412
40 : 283163
41 : 203783
42 : 124888
43 : 75732
44 : 41967
45 : 24167
46 : 15080
47 : 7721
48 : 4266
49 : 1444
50 : 1070
51 : 593
52 : 104
53 : 1
54 : 1
55 : 1

TIEPO TOMADO : 281.8952 seg

Maximum resident set size (kbytes): 836476
