7 11 8 3 14 b 6 15 1 4 13 9 5 12 2 10

LLEGO

NODOS POR ALTURA:
0 : 6
1 : 20
2 : 45
3 : 77
4 : 130
5 : 230
6 : 437
7 : 742
8 : 1261
9 : 1910
10 : 3193
11 : 4603
12 : 7227
13 : 9089
14 : 13534
15 : 15819
16 : 22811
17 : 24345
18 : 33810
19 : 33968
20 : 46169
21 : 42620
22 : 56060
23 : 46195
24 : 58665
25 : 43604
26 : 53412
27 : 35966
28 : 41407
29 : 25082
30 : 27509
31 : 15356
32 : 15762
33 : 7679
34 : 7467
35 : 3083
36 : 2751
37 : 833
38 : 718
39 : 147
40 : 128
41 : 42
42 : 39
43 : 1
44 : 1
45 : 1
46 : 1

TIEPO TOMADO : 10.6709 seg

Maximum resident set size (kbytes): 21640
