15 14 b 4 11 1 6 13 7 5 8 9 3 2 10 12

NO LLEGO

NODOS POR ALTURA:
0 : 12
1 : 32
2 : 57
3 : 121
4 : 259
5 : 502
6 : 955
7 : 1885
8 : 3751
9 : 7424
10 : 14367
11 : 27582
12 : 52302
13 : 98876
14 : 182347
15 : 331181
16 : 579987
17 : 994896
18 : 1621909
19 : 2577954
20 : 3832392
21 : 5558583
22 : 7418608
23 : 9800209
24 : 11684209
25 : 14177231
26 : 15188680
27 : 17009411
28 : 16482718
29 : 17223677
30 : 15290363
31 : 15015051
32 : 12374277
33 : 11323328
34 : 8763387
35 : 7448568
36 : 5574161
37 : 4383886
38 : 3161433
39 : 2265462
40 : 1582876
41 : 1054669
42 : 719577
43 : 451125
44 : 299138
45 : 179035
46 : 116848
47 : 64921
48 : 39515
49 : 20078
50 : 10222
51 : 5262
52 : 2410
53 : 1527
54 : 658
55 : 399
56 : 177
57 : 131
58 : 30
59 : 4
60 : 2

TIEPO TOMADO : 3600.0004 seg

Maximum resident set size (kbytes): 3159636
